sim,tau_hat,running_mean_tau,running_bias,running_abs_bias,accepted_iteration_rate,accepted_row_update_rate,n_mcmc,k,beta,dataset_file
99,0.8473978452997878,1.0428014170054714,0.042801417005471354,0.042801417005471354,1.0,0.8343333333333334,500,2,1.0,datasets_sb01_10000.npz
100,1.1375193835571755,1.0437485966709883,0.04374859667098829,0.04374859667098829,1.0,0.8496666666666667,500,2,1.0,datasets_sb01_10000.npz
101,0.8835611950165521,1.0421625827932217,0.042162582793221715,0.042162582793221715,1.0,0.8557333333333333,500,2,1.0,datasets_sb01_10000.npz
102,1.0492550762737018,1.0422321170430302,0.042232117043030204,0.042232117043030204,1.0,0.843,500,2,1.0,datasets_sb01_10000.npz
103,1.0975341879164762,1.0427690303524813,0.04276903035248125,0.04276903035248125,1.0,0.8435333333333334,500,2,1.0,datasets_sb01_10000.npz
104,1.406377132334734,1.0462652621023105,0.04626526210231052,0.04626526210231052,1.0,0.8464,500,2,1.0,datasets_sb01_10000.npz
105,1.6139801127558642,1.051672070203773,0.05167207020377296,0.05167207020377296,1.0,0.8442666666666667,500,2,1.0,datasets_sb01_10000.npz
106,0.8292877027905307,1.0495741044734594,0.049574104473459446,0.049574104473459446,1.0,0.8445333333333334,500,2,1.0,datasets_sb01_10000.npz
107,0.9762086231381487,1.0488884457693912,0.04888844576939122,0.04888844576939122,1.0,0.8448,500,2,1.0,datasets_sb01_10000.npz
108,1.1404369954918332,1.0497361175260804,0.049736117526080426,0.049736117526080426,1.0,0.8523333333333334,500,2,1.0,datasets_sb01_10000.npz
109,1.0683727359212754,1.049907095676495,0.049907095676495095,0.049907095676495095,1.0,0.8471333333333333,500,2,1.0,datasets_sb01_10000.npz
110,0.6935251251363925,1.046667259580676,0.04666725958067608,0.04666725958067608,1.0,0.8466666666666667,500,2,1.0,datasets_sb01_10000.npz
111,1.0483772493470747,1.0466826648938867,0.04668266489388673,0.04668266489388673,1.0,0.8531333333333333,500,2,1.0,datasets_sb01_10000.npz
112,1.1661888023518814,1.0477496839783331,0.047749683978333124,0.047749683978333124,1.0,0.8448,500,2,1.0,datasets_sb01_10000.npz
113,1.4491335936752399,1.0513017539756508,0.05130175397565084,0.05130175397565084,1.0,0.8524,500,2,1.0,datasets_sb01_10000.npz
114,0.9758776279728987,1.0506401388352757,0.05064013883527574,0.05064013883527574,1.0,0.8584,500,2,1.0,datasets_sb01_10000.npz
115,1.2634119399531294,1.0524903284102136,0.052490328410213616,0.052490328410213616,1.0,0.8372666666666667,500,2,1.0,datasets_sb01_10000.npz
116,1.1111558500855314,1.0529960656660355,0.05299606566603554,0.05299606566603554,1.0,0.8536666666666667,500,2,1.0,datasets_sb01_10000.npz
117,0.8601073500982289,1.051347444165456,0.051347444165456,0.051347444165456,1.0,0.8326666666666667,500,2,1.0,datasets_sb01_10000.npz
118,1.268628765651547,1.053188811296694,0.05318881129669406,0.05318881129669406,1.0,0.8502,500,2,1.0,datasets_sb01_10000.npz
119,1.369991420102541,1.0558510180933818,0.05585101809338178,0.05585101809338178,1.0,0.8464,500,2,1.0,datasets_sb01_10000.npz
120,1.079894453134928,1.0560513800520612,0.05605138005206123,0.05605138005206123,1.0,0.8452666666666667,500,2,1.0,datasets_sb01_10000.npz
121,0.972205188562919,1.055358436320746,0.055358436320745996,0.055358436320745996,1.0,0.8552666666666666,500,2,1.0,datasets_sb01_10000.npz
122,0.705074126761968,1.05248725345551,0.052487253455510086,0.052487253455510086,1.0,0.8582666666666666,500,2,1.0,datasets_sb01_10000.npz
